msa_id,msa_name,year,coc_id,coc_name,percentage_overlap
10420,"Akron, OH",2019,OH-507,Ohio Balance of State CoC,54.42903802334714
10420,"Akron, OH",2019,OH-506,"Akron, Barberton/Summit County CoC",45.57096191576639
10580,"Albany-Schenectady-Troy, NY",2019,NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",29.314911468102057
10580,"Albany-Schenectady-Troy, NY",2019,NY-512,Troy/Rensselaer County CoC,23.118517693354423
10580,"Albany-Schenectady-Troy, NY",2019,NY-525,New York Balance of State CoC,21.760891393619634
10580,"Albany-Schenectady-Troy, NY",2019,NY-503,Albany City & County CoC,18.52884441115819
10580,"Albany-Schenectady-Troy, NY",2019,NY-507,Schenectady City & County CoC,7.27683500268252
10740,"Albuquerque, NM",2019,NM-501,New Mexico Balance of State CoC,97.96734586709329
10740,"Albuquerque, NM",2019,NM-500,Albuquerque CoC,2.0326541329069028
10900,"Allentown-Bethlehem-Easton, PA-NJ",2019,PA-509,Eastern Pennsylvania CoC,75.4221268027584
10900,"Allentown-Bethlehem-Easton, PA-NJ",2019,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",24.577873154971996
12060,"Atlanta-Sandy Springs-Roswell, GA",2019,GA-501,Georgia Balance of State CoC,87.08409824308657
12060,"Atlanta-Sandy Springs-Roswell, GA",2019,GA-502,Fulton County CoC,4.598260079947048
12060,"Atlanta-Sandy Springs-Roswell, GA",2019,GA-506,Marietta/Cobb County CoC,3.8565493533351862
12060,"Atlanta-Sandy Springs-Roswell, GA",2019,GA-508,DeKalb County CoC,2.935067663758032
12060,"Atlanta-Sandy Springs-Roswell, GA",2019,GA-500,Atlanta CoC,1.526024655226148
12260,"Augusta-Richmond County, GA-SC",2019,GA-501,Georgia Balance of State CoC,46.517880877742414
12260,"Augusta-Richmond County, GA-SC",2019,SC-502,Columbia/Midlands CoC,30.155326504335257
12260,"Augusta-Richmond County, GA-SC",2019,SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",14.15360220329078
12260,"Augusta-Richmond County, GA-SC",2019,GA-504,Augusta-Richmond County CoC,9.173190414631636
12420,"Austin-Round Rock-San Marcos, TX",2019,TX-607,Texas Balance of State CoC,75.69980268046717
12420,"Austin-Round Rock-San Marcos, TX",2019,TX-503,Austin/Travis County CoC,24.300197315464615
12540,"Bakersfield-Delano, CA",2019,CA-604,Bakersfield/Kern County CoC,99.99999996127355
12580,"Baltimore-Columbia-Towson, MD",2019,MD-505,Baltimore County CoC,19.59048509993839
12580,"Baltimore-Columbia-Towson, MD",2019,MD-506,Carroll County CoC,14.57889734691625
12580,"Baltimore-Columbia-Towson, MD",2019,MD-514,Maryland Balance of State CoC,14.355635551206403
12580,"Baltimore-Columbia-Towson, MD",2019,MD-503,Annapolis/Anne Arundel County CoC,13.410670015872647
12580,"Baltimore-Columbia-Towson, MD",2019,MD-511,Mid-Shore Regional CoC,12.061847444623357
12580,"Baltimore-Columbia-Towson, MD",2019,MD-504,Howard County CoC,8.160863902133846
12580,"Baltimore-Columbia-Towson, MD",2019,MD-501,Baltimore CoC,2.620030148311033
12940,"Baton Rouge, LA",2019,LA-509,Louisiana Balance of State CoC,75.92165216002809
12940,"Baton Rouge, LA",2019,LA-506,Slidell/Southeast Louisiana CoC,24.078347802062993
13820,"Birmingham, AL",2019,AL-507,Alabama Balance of State CoC,51.806751633654244
13820,"Birmingham, AL",2019,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",48.19324833379949
14260,"Boise City, ID",2019,ID-501,Idaho Balance of State CoC,91.03689277779196
14260,"Boise City, ID",2019,ID-500,Boise/Ada County CoC,8.96310720912552
14460,"Boston-Cambridge-Newton, MA-NH",2019,MA-516,Massachusetts Balance of State CoC,38.36481360147513
14460,"Boston-Cambridge-Newton, MA-NH",2019,NH-500,New Hampshire Balance of State CoC,24.235679368815873
14460,"Boston-Cambridge-Newton, MA-NH",2019,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",16.07516287802844
14460,"Boston-Cambridge-Newton, MA-NH",2019,MA-500,Boston CoC,1.0987355841443054
15380,"Buffalo-Cheektowaga, NY",2019,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",66.4628107785437
15980,"Cape Coral-Fort Myers, FL",2019,FL-603,"Ft Myers, Cape Coral/Lee County CoC",54.0489192698156
16700,"Charleston-North Charleston, SC",2019,SC-500,Charleston/Low Country CoC,87.506183650584
16740,"Charlotte-Concord-Gastonia, NC-SC",2019,NC-503,North Carolina Balance of State CoC,46.586665875921405
16740,"Charlotte-Concord-Gastonia, NC-SC",2019,SC-502,Columbia/Midlands CoC,32.15476519919251
16740,"Charlotte-Concord-Gastonia, NC-SC",2019,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",11.700255770400982
16740,"Charlotte-Concord-Gastonia, NC-SC",2019,NC-505,Charlotte/Mecklenburg County CoC,9.558313132960542
16860,"Chattanooga, TN-GA",2019,TN-500,Chattanooga/Southeast Tennessee CoC,63.34135025345642
16860,"Chattanooga, TN-GA",2019,GA-501,Georgia Balance of State CoC,36.65864972681179
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IN-502,Indiana Balance of State CoC,21.407911429370866
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-506,"Joliet, Bolingbrook/Will County CoC",17.877848146393482
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-511,Cook County CoC,8.252835161720014
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",7.170970798743978
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-500,McHenry County CoC,6.971972104241761
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-517,"Aurora, Elgin/Kane County CoC",6.174461254332593
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-502,"Waukegan, North Chicago/Lake County CoC",5.36322597838328
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-514,DuPage County CoC,3.774548509566792
16980,"Chicago-Naperville-Elgin, IL-IN",2019,IL-510,Chicago CoC,2.623554001017123
17140,"Cincinnati, OH-KY-IN",2019,OH-507,Ohio Balance of State CoC,40.86916484127631
17140,"Cincinnati, OH-KY-IN",2019,KY-500,Kentucky Balance of State CoC,32.16646456441457
17140,"Cincinnati, OH-KY-IN",2019,IN-502,Indiana Balance of State CoC,17.59847486413511
17140,"Cincinnati, OH-KY-IN",2019,OH-500,Cincinnati/Hamilton County CoC,9.295988061367847
17410,"Cleveland, OH",2019,OH-507,Ohio Balance of State CoC,42.38449775781993
17410,"Cleveland, OH",2019,OH-502,Cleveland/Cuyahoga County CoC,8.58848801949888
17820,"Colorado Springs, CO",2019,CO-504,Colorado Springs/El Paso County CoC,79.21717709543634
17820,"Colorado Springs, CO",2019,CO-500,Colorado Balance of State CoC,20.782822891508594
17900,"Columbia, SC",2019,SC-502,Columbia/Midlands CoC,68.67383889572629
17900,"Columbia, SC",2019,SC-503,Sumter City & County CoC,19.308635726282194
